Fund,Alpha_annualized,Excess_Return,Beta,AUM,Expense_Ratio,Age_Years,Source,Recommendation
SUCOREQ_IJ_Equity,0.0633752703735595,-0.007804729626440493,0.835157587068558,3031860.549,4.06,13.52772074,MF_JCI,BUY (verify criteria)
TRMGHBB_IJ_Equity,0.05975709903628923,-0.011422900963710764,0.9159997817217902,270791.9658,0.0371,10.01779603,MF_JCI,BUY (verify criteria)
PDLPNEF_IJ_Equity,0.05372555901946474,-0.017454440980535252,0.969270229343176,24713.60963,2,3.296372348,MF_JCI,BUY (verify criteria)
NIKINEF_IJ_Equity,0.044401655773465,-0.026778344226534995,0.9685959504514408,8068.758178,2,13.01300479,MF_JCI,BUY (verify criteria)
FWDEXEQ_IJ_Equity,0.04007491965200227,-0.03110508034799772,0.8719276423975468,NA,2,3.488021903,MF_JCI,BUY (verify criteria)
SIMSAHM_IJ_Equity,0.04000241385862857,-0.03117758614137142,0.7644766735670946,125914.1824,4.13,18.14921287,MF_JCI,BUY (verify criteria)
BTCWVRA_IJ_Equity,0.03763776290284038,-0.033542237097159616,0.8078945437291205,1534679.43,2,5.596167009,MF_JCI,BUY (verify criteria)
AMFZAMD_IJ_Equity,0.03612817324675066,-0.03505182675324933,0.8985746716507234,11296816.9,2,21.93839836,MF_JCI,BUY (verify criteria)
TRISARA_IJ_Equity,0.03612547366469165,-0.035054526335308346,0.9118565190824368,2242922.006,0.0163,8.106776181,MF_JCI,BUY (verify criteria)
XAQA_IJ_Equity,0.03453244065318239,-0.036647559346817606,0.8041498574212389,0.013590621,2,6.354551677,ETF_JCI,BUY (verify criteria)
BLSDINI_IJ_Equity,0.03195180132954389,-0.039228198670456106,0.936234557916287,13957.81002,2.66,28.28473648,MF_JCI,BUY (verify criteria)
ASHSSN2_IJ_Equity,0.03166377910097573,-0.03951622089902426,0.9366929184666484,214067.2433,2,7.567419576,MF_JCI,BUY (verify criteria)
