Fund,Source,Alpha_annualized,AUM,Expense_Ratio,Age_Years
SUCOREQ_IJ_Equity,MF_JCI,0.0633752703735595,NA,NA,NA
TRMGHBB_IJ_Equity,MF_JCI,0.05975709903628923,NA,NA,NA
PDLPNEF_IJ_Equity,MF_JCI,0.05372555901946474,NA,NA,NA
NIKINEF_IJ_Equity,MF_JCI,0.044401655773465,NA,NA,NA
FWDEXEQ_IJ_Equity,MF_JCI,0.04007491965200227,NA,NA,NA
SIMSAHM_IJ_Equity,MF_JCI,0.04000241385862857,NA,NA,NA
BTCWVRA_IJ_Equity,MF_JCI,0.03763776290284038,NA,NA,NA
AMFZAMD_IJ_Equity,MF_JCI,0.03612817324675066,NA,NA,NA
TRISARA_IJ_Equity,MF_JCI,0.036125473664691654,NA,NA,NA
XAQA_IJ_Equity,MF_JCI,0.034532440653182395,NA,NA,NA
